URL,Extension,Dataset,Date Tested
https://www.justice.gov/epstein/files/DataSet 8/EFTA00033092.mp4,mp4,DataSet 8,2026-03-17 06:40:45
https://www.justice.gov/epstein/files/DataSet 8/EFTA00033346.mp4,mp4,DataSet 8,2026-03-17 06:40:45
https://www.justice.gov/epstein/files/DataSet 8/EFTA00033312.mp4,mp4,DataSet 8,2026-03-17 06:40:45
https://www.justice.gov/epstein/files/DataSet 8/EFTA00033078.mp4,mp4,DataSet 8,2026-03-17 06:40:45
https://www.justice.gov/epstein/files/DataSet 8/EFTA00033162.mp4,mp4,DataSet 8,2026-03-17 06:40:45
https://www.justice.gov/epstein/files/DataSet 8/EFTA00033354.mp4,mp4,DataSet 8,2026-03-17 06:40:45
https://www.justice.gov/epstein/files/DataSet 8/EFTA00033003.mp4,mp4,DataSet 8,2026-03-17 06:40:45
https://www.justice.gov/epstein/files/DataSet 8/EFTA00033142.mp4,mp4,DataSet 8,2026-03-17 06:40:45
https://www.justice.gov/epstein/files/DataSet 8/EFTA00033063.mp4,mp4,DataSet 8,2026-03-17 06:40:45
https://www.justice.gov/epstein/files/DataSet 8/EFTA00033076.mp4,mp4,DataSet 8,2026-03-17 06:40:45
https://www.justice.gov/epstein/files/DataSet 8/EFTA00033167.mp4,mp4,DataSet 8,2026-03-17 06:40:45
https://www.justice.gov/epstein/files/DataSet 8/EFTA00033144.mp4,mp4,DataSet 8,2026-03-17 06:40:45
https://www.justice.gov/epstein/files/DataSet 8/EFTA00033099.mp4,mp4,DataSet 8,2026-03-17 06:40:45
https://www.justice.gov/epstein/files/DataSet 8/EFTA00033125.mp4,mp4,DataSet 8,2026-03-17 06:40:45
https://www.justice.gov/epstein/files/DataSet 8/EFTA00033331.mp4,mp4,DataSet 8,2026-03-17 06:40:45
https://www.justice.gov/epstein/files/DataSet 8/EFTA00033054.mp4,mp4,DataSet 8,2026-03-17 06:40:45
https://www.justice.gov/epstein/files/DataSet 8/EFTA00033083.mp4,mp4,DataSet 8,2026-03-17 06:40:45
https://www.justice.gov/epstein/files/DataSet 8/EFTA00033292.mp4,mp4,DataSet 8,2026-03-17 06:40:45
https://www.justice.gov/epstein/files/DataSet 8/EFTA00033232.mp4,mp4,DataSet 8,2026-03-17 06:40:45
https://www.justice.gov/epstein/files/DataSet 8/EFTA00033313.mp4,mp4,DataSet 8,2026-03-17 06:40:45
https://www.justice.gov/epstein/files/DataSet 8/EFTA00033123.mp4,mp4,DataSet 8,2026-03-17 06:40:45
https://www.justice.gov/epstein/files/DataSet 8/EFTA00033347.mp4,mp4,DataSet 8,2026-03-17 06:40:45
https://www.justice.gov/epstein/files/DataSet 8/EFTA00033148.mp4,mp4,DataSet 8,2026-03-17 06:40:45
https://www.justice.gov/epstein/files/DataSet 8/EFTA00033203.mp4,mp4,DataSet 8,2026-03-17 06:40:45
https://www.justice.gov/epstein/files/DataSet 8/EFTA00033149.mp4,mp4,DataSet 8,2026-03-17 06:40:45
https://www.justice.gov/epstein/files/DataSet 8/EFTA00033073.mp4,mp4,DataSet 8,2026-03-17 06:40:45
https://www.justice.gov/epstein/files/DataSet 8/EFTA00033263.mp4,mp4,DataSet 8,2026-03-17 06:40:45
https://www.justice.gov/epstein/files/DataSet 8/EFTA00033148.mp4,mp4,DataSet 8,2026-03-17 06:40:45
https://www.justice.gov/epstein/files/DataSet 8/EFTA00033203.mp4,mp4,DataSet 8,2026-03-17 06:40:45
https://www.justice.gov/epstein/files/DataSet 8/EFTA00033149.mp4,mp4,DataSet 8,2026-03-17 06:40:45
https://www.justice.gov/epstein/files/DataSet 8/EFTA00033073.mp4,mp4,DataSet 8,2026-03-17 06:40:45
https://www.justice.gov/epstein/files/DataSet 8/EFTA00033263.mp4,mp4,DataSet 8,2026-03-17 06:40:45
https://www.justice.gov/epstein/files/DataSet 8/EFTA00033291.mp4,mp4,DataSet 8,2026-03-17 06:40:45
https://www.justice.gov/epstein/files/DataSet 8/EFTA00033090.mp4,mp4,DataSet 8,2026-03-17 06:40:45
https://www.justice.gov/epstein/files/DataSet 8/EFTA00033050.mp4,mp4,DataSet 8,2026-03-17 06:40:45
https://www.justice.gov/epstein/files/DataSet 8/EFTA00033093.mp4,mp4,DataSet 8,2026-03-17 06:40:45
https://www.justice.gov/epstein/files/DataSet 8/EFTA00033309.mp4,mp4,DataSet 8,2026-03-17 06:40:45
https://www.justice.gov/epstein/files/DataSet 8/EFTA00033324.mp4,mp4,DataSet 8,2026-03-17 06:40:45
https://www.justice.gov/epstein/files/DataSet 8/EFTA00033117.mp4,mp4,DataSet 8,2026-03-17 06:40:45
https://www.justice.gov/epstein/files/DataSet 8/EFTA00033236.mp4,mp4,DataSet 8,2026-03-17 06:40:45
https://www.justice.gov/epstein/files/DataSet 8/EFTA00033220.mp4,mp4,DataSet 8,2026-03-17 06:40:45
https://www.justice.gov/epstein/files/DataSet 8/EFTA00033194.mp4,mp4,DataSet 8,2026-03-17 06:40:45
https://www.justice.gov/epstein/files/DataSet 8/EFTA00029995.mp4,mp4,DataSet 8,2026-03-17 06:40:45
https://www.justice.gov/epstein/files/DataSet 8/EFTA00029998.mp4,mp4,DataSet 8,2026-03-17 06:40:45
https://www.justice.gov/epstein/files/DataSet 8/EFTA00033033.mp4,mp4,DataSet 8,2026-03-17 06:40:45
https://www.justice.gov/epstein/files/DataSet 8/EFTA00033014.mp4,mp4,DataSet 8,2026-03-17 06:40:45
https://www.justice.gov/epstein/files/DataSet 8/EFTA00033030.mp4,mp4,DataSet 8,2026-03-17 06:40:45
https://www.justice.gov/epstein/files/DataSet 9/EFTA00128569.mp4,mp4,DataSet 9,2026-03-17 06:40:45
https://www.justice.gov/epstein/files/DataSet 9/EFTA00128573.mp4,mp4,DataSet 9,2026-03-17 06:40:45
https://www.justice.gov/epstein/files/DataSet 9/EFTA00128572.mp4,mp4,DataSet 9,2026-03-17 06:40:45
https://www.justice.gov/epstein/files/DataSet 9/EFTA00128600.mp4,mp4,DataSet 9,2026-03-17 06:40:45
https://www.justice.gov/epstein/files/DataSet 9/EFTA00128601.mp4,mp4,DataSet 9,2026-03-17 06:40:45
https://www.justice.gov/epstein/files/DataSet 9/EFTA00128602.mp4,mp4,DataSet 9,2026-03-17 06:40:45
https://www.justice.gov/epstein/files/DataSet 9/EFTA00128610.mp4,mp4,DataSet 9,2026-03-17 06:40:45
